RELATION_ID	GENERATED_TAIL_ID	DISTANCE_SCORE
dblp:publishedIn	venue_1290	0.1220
dblp:inYear	year_43	0.0907
dblp:inYear	year_61	0.1069
dblp:inYear	year_53	0.1140
dblp:publishedIn	venue_1087	0.1138
dblp:wrote	pub_13261	0.0660
dblp:wrote	pub_129422	0.1148
dblp:hasAuthor	author_259026	0.1086
dblp:publishedIn	venue_1290	0.1186
dblp:inYear	year_57	0.1062
dblp:hasAuthor	author_104339	0.0935
dblp:wrote	pub_94790	0.0952
dblp:wrote	pub_88268	0.0911
dblp:hasAuthor	author_82561	0.0924
dblp:publishedIn	venue_1539	0.1450
dblp:wrote	pub_55158	0.0927
dblp:hasAuthor	author_249697	0.1209
dblp:publishedIn	venue_1543	0.1622
dblp:hasAuthor	author_165921	0.1251
dblp:wrote	pub_102905	0.0954
dblp:wrote	pub_110940	0.1094
dblp:inYear	year_61	0.1516
dblp:inYear	year_43	0.0908
dblp:hasAuthor	author_31569	0.1086
dblp:inYear	year_61	0.1188
dblp:wrote	pub_15693	0.0753
dblp:inYear	year_53	0.1279
dblp:publishedIn	venue_292	0.1078
dblp:wrote	pub_28974	0.1153
dblp:wrote	pub_146238	0.1166
dblp:inYear	year_53	0.1500
dblp:publishedIn	venue_1584	0.1117
dblp:inYear	year_53	0.0921
dblp:hasAuthor	author_55524	0.0763
dblp:inYear	year_9	0.1750
dblp:inYear	year_53	0.1163
dblp:hasAuthor	author_20484	0.0990
dblp:inYear	year_57	0.1017
dblp:publishedIn	venue_1214	0.1759
dblp:hasAuthor	author_94733	0.1240
dblp:inYear	year_51	0.0910
dblp:inYear	year_54	0.1190
dblp:inYear	year_53	0.0896
dblp:hasAuthor	author_113141	0.1119
dblp:wrote	pub_9585	0.1020
dblp:wrote	pub_122586	0.0722
dblp:inYear	year_51	0.1108
dblp:publishedIn	venue_1192	0.1001
dblp:wrote	pub_53027	0.0791
dblp:publishedIn	venue_1290	0.1379
dblp:wrote	pub_11199	0.1062
dblp:publishedIn	venue_725	0.1371
dblp:wrote	pub_153584	0.1162
dblp:publishedIn	venue_936	0.1557
dblp:hasAuthor	author_237832	0.1054
dblp:wrote	pub_55577	0.0692
dblp:wrote	pub_157714	0.0933
dblp:hasAuthor	author_154362	0.0868
dblp:hasAuthor	author_157463	0.1093
dblp:hasAuthor	author_147779	0.1217
dblp:wrote	pub_131712	0.0765
dblp:wrote	pub_54448	0.0877
dblp:inYear	year_43	0.1127
dblp:publishedIn	venue_206	0.1845
dblp:wrote	pub_166687	0.0964
dblp:inYear	year_30	0.1451
dblp:hasAuthor	author_16290	0.1070
dblp:wrote	pub_125817	0.0699
dblp:publishedIn	venue_243	0.1601
dblp:wrote	pub_179838	0.0870
dblp:wrote	pub_65917	0.0956
dblp:wrote	pub_37408	0.1183
dblp:wrote	pub_6926	0.0632
dblp:inYear	year_51	0.1170
dblp:wrote	pub_119527	0.0843
dblp:inYear	year_43	0.0973
dblp:inYear	year_61	0.1245
dblp:inYear	year_38	0.0922
dblp:publishedIn	venue_182	0.1293
dblp:hasAuthor	author_252570	0.0942
dblp:wrote	pub_27454	0.1080
dblp:hasAuthor	author_97193	0.1321
dblp:publishedIn	venue_547	0.1817
dblp:wrote	pub_64870	0.0952
dblp:hasAuthor	author_175597	0.1199
dblp:publishedIn	venue_915	0.1221
dblp:publishedIn	venue_907	0.1231
dblp:wrote	pub_130268	0.0868
dblp:publishedIn	venue_1039	0.1335
dblp:inYear	year_51	0.1079
dblp:publishedIn	venue_1290	0.1417
dblp:wrote	pub_57065	0.0836
dblp:hasAuthor	author_68860	0.1077
dblp:publishedIn	venue_37	0.1196
dblp:hasAuthor	author_152414	0.0833
dblp:publishedIn	venue_936	0.1431
dblp:publishedIn	venue_936	0.1175
dblp:publishedIn	venue_310	0.1333
dblp:wrote	pub_124206	0.1150
dblp:hasAuthor	author_196668	0.0815
dblp:wrote	pub_10806	0.1308
dblp:wrote	pub_176427	0.1197
dblp:inYear	year_53	0.1344
dblp:hasAuthor	author_218206	0.0806
dblp:wrote	pub_144360	0.0900
dblp:hasAuthor	author_232681	0.0834
dblp:inYear	year_53	0.1303
dblp:publishedIn	venue_573	0.1134
dblp:wrote	pub_190950	0.0868
dblp:publishedIn	venue_1290	0.1337
dblp:inYear	year_61	0.1473
dblp:inYear	year_54	0.1098
dblp:publishedIn	venue_572	0.1275
dblp:wrote	pub_8344	0.0790
dblp:publishedIn	venue_1342	0.1341
dblp:hasAuthor	author_171266	0.0923
dblp:inYear	year_53	0.1013
dblp:wrote	pub_67474	0.0868
dblp:publishedIn	venue_1290	0.1248
dblp:inYear	year_57	0.0885
dblp:inYear	year_51	0.0910
dblp:publishedIn	venue_1369	0.1217
dblp:wrote	pub_134438	0.0874
dblp:inYear	year_51	0.1236
dblp:inYear	year_57	0.1943
dblp:wrote	pub_99940	0.1089
dblp:hasAuthor	author_135272	0.1262
dblp:publishedIn	venue_648	0.1466
dblp:hasAuthor	author_143090	0.0778
dblp:inYear	year_57	0.1318
dblp:publishedIn	venue_888	0.1161
dblp:publishedIn	venue_1290	0.1288
dblp:wrote	pub_90648	0.1449
dblp:publishedIn	venue_686	0.1408
dblp:inYear	year_53	0.1069
dblp:inYear	year_53	0.1168
dblp:inYear	year_40	0.1349
dblp:hasAuthor	author_46991	0.0885
dblp:hasAuthor	author_250466	0.0821
dblp:hasAuthor	author_131686	0.0711
dblp:publishedIn	venue_1221	0.1586
dblp:hasAuthor	author_115878	0.1073
dblp:inYear	year_53	0.1031
dblp:wrote	pub_23509	0.1075
dblp:wrote	pub_112238	0.0966
dblp:wrote	pub_14688	0.0879
dblp:wrote	pub_1011	0.0907
dblp:publishedIn	venue_1214	0.1457
dblp:hasAuthor	author_187378	0.1646
dblp:wrote	pub_153114	0.1088
dblp:hasAuthor	author_201304	0.1405
dblp:publishedIn	venue_907	0.1161
dblp:inYear	year_38	0.1096
dblp:wrote	pub_59633	0.1220
dblp:hasAuthor	author_204044	0.0841
dblp:hasAuthor	author_189162	0.0834
dblp:publishedIn	venue_1584	0.1383
dblp:publishedIn	venue_1624	0.1465
dblp:hasAuthor	author_177718	0.0923
dblp:wrote	pub_68205	0.0814
dblp:hasAuthor	author_64337	0.1151
dblp:hasAuthor	author_213164	0.1585
dblp:inYear	year_51	0.1002
dblp:wrote	pub_33077	0.0977
dblp:wrote	pub_158140	0.0777
dblp:wrote	pub_181613	0.1160
dblp:hasAuthor	author_168026	0.1098
dblp:hasAuthor	author_122097	0.0964
dblp:publishedIn	venue_220	0.1511
dblp:hasAuthor	author_121390	0.0617
dblp:hasAuthor	author_128432	0.0824
dblp:hasAuthor	author_209671	0.1015
dblp:publishedIn	venue_905	0.1187
dblp:publishedIn	venue_740	0.1251
dblp:wrote	pub_7589	0.0889
dblp:hasAuthor	author_202160	0.0890
dblp:inYear	year_57	0.0904
dblp:publishedIn	venue_1062	0.1149
dblp:inYear	year_57	0.1163
dblp:hasAuthor	author_259363	0.0859
dblp:hasAuthor	author_38154	0.1037
dblp:wrote	pub_147255	0.0979
dblp:inYear	year_57	0.1437
dblp:hasAuthor	author_214764	0.1497
dblp:publishedIn	venue_1062	0.1173
dblp:publishedIn	venue_936	0.1130
dblp:publishedIn	venue_263	0.1188
dblp:hasAuthor	author_135595	0.0972
dblp:inYear	year_53	0.1161
dblp:wrote	pub_140980	0.1122
dblp:publishedIn	venue_936	0.1280
dblp:publishedIn	venue_725	0.1627
dblp:inYear	year_43	0.1003
dblp:hasAuthor	author_54573	0.0801
dblp:publishedIn	venue_936	0.1171
dblp:hasAuthor	author_101322	0.1092
dblp:publishedIn	venue_1624	0.1383
dblp:wrote	pub_54640	0.0734
dblp:publishedIn	venue_1087	0.2074
dblp:hasAuthor	author_47406	0.0964
dblp:hasAuthor	author_214091	0.0945
dblp:publishedIn	venue_179	0.1420
dblp:hasAuthor	author_105752	0.1053
dblp:hasAuthor	author_249697	0.1630
dblp:inYear	year_56	0.1303
dblp:publishedIn	venue_936	0.1342
dblp:inYear	year_53	0.1146
dblp:hasAuthor	author_184802	0.1179
dblp:publishedIn	venue_936	0.1166
dblp:hasAuthor	author_18929	0.0815
dblp:wrote	pub_149574	0.1106
dblp:inYear	year_57	0.1071
dblp:inYear	year_51	0.1037
dblp:hasAuthor	author_69106	0.0885
dblp:publishedIn	venue_1648	0.1288
dblp:wrote	pub_19260	0.1143
dblp:hasAuthor	author_50169	0.0900
dblp:hasAuthor	author_212805	0.1021
dblp:inYear	year_49	0.1134
dblp:wrote	pub_69662	0.1162
dblp:wrote	pub_161051	0.0831
dblp:wrote	pub_2591	0.0699
dblp:inYear	year_53	0.1294
dblp:inYear	year_35	0.1264
dblp:inYear	year_53	0.1153
dblp:inYear	year_57	0.1007
dblp:wrote	pub_21862	0.1034
dblp:wrote	pub_89136	0.0849
dblp:inYear	year_38	0.0966
dblp:hasAuthor	author_34970	0.0764
dblp:inYear	year_54	0.1244
dblp:hasAuthor	author_213164	0.1433
dblp:publishedIn	venue_1539	0.1496
dblp:hasAuthor	author_259752	0.0751
dblp:hasAuthor	author_210530	0.1360
dblp:publishedIn	venue_740	0.1437
dblp:publishedIn	venue_567	0.1384
dblp:wrote	pub_24157	0.1066
dblp:inYear	year_43	0.1102
dblp:wrote	pub_159553	0.0792
dblp:publishedIn	venue_749	0.1444
dblp:wrote	pub_106367	0.0880
dblp:wrote	pub_24157	0.1027
dblp:wrote	pub_12006	0.0946
dblp:hasAuthor	author_24490	0.1065
dblp:wrote	pub_111414	0.0954
dblp:hasAuthor	author_31465	0.1349
dblp:publishedIn	venue_1539	0.1410
dblp:inYear	year_6	0.1294
dblp:hasAuthor	author_237836	0.1198
dblp:wrote	pub_74882	0.0960
dblp:inYear	year_57	0.1128
dblp:publishedIn	venue_740	0.1183
dblp:inYear	year_43	0.0937
dblp:hasAuthor	author_59171	0.0996
dblp:hasAuthor	author_3507	0.0793
dblp:publishedIn	venue_740	0.1253
dblp:wrote	pub_35136	0.0821
dblp:publishedIn	venue_163	0.1190
dblp:hasAuthor	author_124824	0.0971
dblp:inYear	year_36	0.1159
dblp:hasAuthor	author_107386	0.0948
dblp:wrote	pub_46279	0.0899
dblp:wrote	pub_25673	0.1083
dblp:inYear	year_53	0.1101
dblp:inYear	year_57	0.0910
dblp:publishedIn	venue_310	0.1462
dblp:publishedIn	venue_1214	0.1339
dblp:publishedIn	venue_37	0.1465
dblp:hasAuthor	author_229121	0.1074
dblp:wrote	pub_97934	0.0900
dblp:publishedIn	venue_749	0.1192
dblp:inYear	year_38	0.1100
dblp:wrote	pub_9585	0.1109
dblp:publishedIn	venue_725	0.1263
dblp:publishedIn	venue_337	0.1637
dblp:inYear	year_57	0.0958
dblp:hasAuthor	author_14908	0.1186
dblp:hasAuthor	author_52763	0.0782
dblp:inYear	year_61	0.1296
dblp:inYear	year_53	0.0941
dblp:inYear	year_52	0.1222
dblp:publishedIn	venue_310	0.1409
dblp:wrote	pub_83254	0.0910
dblp:wrote	pub_87235	0.1118
dblp:hasAuthor	author_123265	0.1263
dblp:hasAuthor	author_101451	0.0826
dblp:inYear	year_53	0.1140
dblp:inYear	year_54	0.0974
dblp:wrote	pub_60506	0.0736
dblp:hasAuthor	author_79806	0.0554
dblp:inYear	year_57	0.1424
dblp:publishedIn	venue_790	0.1191
dblp:hasAuthor	author_94137	0.1074
dblp:wrote	pub_92135	0.0759
dblp:wrote	pub_34763	0.1152
dblp:hasAuthor	author_198759	0.0814
dblp:hasAuthor	author_214255	0.0893
dblp:publishedIn	venue_315	0.1235
dblp:wrote	pub_163842	0.0955
dblp:inYear	year_53	0.1235
dblp:wrote	pub_27454	0.1025
dblp:wrote	pub_68829	0.1313
dblp:inYear	year_53	0.1379
dblp:inYear	year_38	0.1080
dblp:hasAuthor	author_185348	0.0837
dblp:hasAuthor	author_155072	0.0821
dblp:hasAuthor	author_127114	0.0800
dblp:hasAuthor	author_239726	0.0893
dblp:publishedIn	venue_1290	0.1421
dblp:inYear	year_6	0.1044
dblp:hasAuthor	author_140789	0.1251
dblp:hasAuthor	author_54727	0.1180
dblp:inYear	year_43	0.1024
dblp:hasAuthor	author_64920	0.1231
dblp:publishedIn	venue_1392	0.1256
dblp:wrote	pub_102202	0.0823
dblp:wrote	pub_69662	0.0845
dblp:publishedIn	venue_1197	0.1137
dblp:publishedIn	venue_219	0.1491
dblp:wrote	pub_171106	0.0935
dblp:inYear	year_61	0.1173
dblp:wrote	pub_85425	0.0833
dblp:inYear	year_35	0.1707
dblp:hasAuthor	author_38145	0.0761
dblp:hasAuthor	author_148634	0.1382
dblp:publishedIn	venue_583	0.1451
dblp:inYear	year_51	0.0916
dblp:hasAuthor	author_60233	0.0960
dblp:hasAuthor	author_63680	0.0933
dblp:publishedIn	venue_970	0.1257
dblp:publishedIn	venue_740	0.1588
dblp:inYear	year_38	0.1327
dblp:hasAuthor	author_2522	0.1217
dblp:wrote	pub_104033	0.0732
dblp:publishedIn	venue_1584	0.1329
dblp:wrote	pub_70723	0.0638
dblp:inYear	year_57	0.1249
dblp:wrote	pub_25133	0.0913
dblp:hasAuthor	author_79411	0.1086
dblp:hasAuthor	author_187685	0.1022
dblp:inYear	year_43	0.1018
dblp:inYear	year_51	0.0884
dblp:hasAuthor	author_132747	0.0954
dblp:inYear	year_30	0.1150
dblp:wrote	pub_164403	0.0793
dblp:hasAuthor	author_208975	0.0744
dblp:hasAuthor	author_21921	0.1189
dblp:inYear	year_43	0.1386
dblp:hasAuthor	author_37367	0.0923
dblp:hasAuthor	author_160871	0.0896
dblp:wrote	pub_80280	0.0952
dblp:hasAuthor	author_67820	0.0830
dblp:inYear	year_51	0.1090
dblp:inYear	year_53	0.0856
dblp:publishedIn	venue_1062	0.1241
dblp:wrote	pub_95363	0.0856
dblp:inYear	year_38	0.0979
dblp:hasAuthor	author_255497	0.0746
dblp:wrote	pub_161097	0.1196
dblp:publishedIn	venue_310	0.1615
dblp:wrote	pub_165799	0.1120
dblp:wrote	pub_15007	0.0751
dblp:wrote	pub_168387	0.1117
dblp:publishedIn	venue_1539	0.1281
dblp:inYear	year_53	0.1289
dblp:inYear	year_61	0.1517
dblp:inYear	year_57	0.1149
dblp:publishedIn	venue_936	0.1205
dblp:wrote	pub_69389	0.1128
dblp:wrote	pub_129189	0.0675
dblp:hasAuthor	author_213204	0.0818
dblp:hasAuthor	author_133395	0.0940
dblp:inYear	year_36	0.1213
dblp:publishedIn	venue_572	0.1178
dblp:inYear	year_61	0.1474
dblp:hasAuthor	author_58709	0.1086
dblp:inYear	year_53	0.1009
dblp:hasAuthor	author_111874	0.1224
dblp:publishedIn	venue_695	0.1493
dblp:wrote	pub_186070	0.0822
dblp:publishedIn	venue_1214	0.1281
dblp:wrote	pub_170024	0.0904
dblp:publishedIn	venue_936	0.1281
dblp:inYear	year_54	0.1412
dblp:wrote	pub_87365	0.0789
dblp:wrote	pub_30225	0.0808
dblp:wrote	pub_156825	0.1044
dblp:inYear	year_53	0.1275
dblp:inYear	year_61	0.1401
dblp:publishedIn	venue_740	0.1207
dblp:publishedIn	venue_310	0.1648
dblp:publishedIn	venue_1290	0.1648
dblp:wrote	pub_13832	0.0770
dblp:wrote	pub_12098	0.0950
dblp:inYear	year_57	0.1074
dblp:hasAuthor	author_138760	0.1089
dblp:hasAuthor	author_189162	0.1358
dblp:inYear	year_51	0.1141
dblp:publishedIn	venue_1250	0.1686
dblp:wrote	pub_11110	0.0831
dblp:wrote	pub_120890	0.0794
dblp:hasAuthor	author_115653	0.1069
dblp:wrote	pub_95726	0.0860
dblp:inYear	year_53	0.1038
dblp:publishedIn	venue_863	0.1224
dblp:hasAuthor	author_185698	0.1301
dblp:publishedIn	venue_1285	0.1507
dblp:wrote	pub_191675	0.1056
dblp:inYear	year_43	0.1130
dblp:inYear	year_53	0.1280
dblp:wrote	pub_96769	0.0602
dblp:hasAuthor	author_194185	0.1027
dblp:hasAuthor	author_11582	0.0905
dblp:inYear	year_43	0.1237
dblp:publishedIn	venue_187	0.1186
dblp:wrote	pub_108755	0.0676
dblp:inYear	year_49	0.1153
dblp:hasAuthor	author_204868	0.1049
dblp:wrote	pub_84916	0.0989
dblp:wrote	pub_138541	0.1024
dblp:inYear	year_38	0.1158
dblp:wrote	pub_60349	0.0796
dblp:inYear	year_51	0.1271
dblp:wrote	pub_83193	0.0870
dblp:wrote	pub_33869	0.1160
dblp:publishedIn	venue_1390	0.1238
dblp:wrote	pub_92271	0.0893
dblp:wrote	pub_164662	0.0721
dblp:publishedIn	venue_1624	0.1263
dblp:hasAuthor	author_245025	0.1110
dblp:wrote	pub_118442	0.0923
dblp:wrote	pub_19870	0.1053
dblp:inYear	year_53	0.1233
dblp:wrote	pub_127628	0.0956
dblp:inYear	year_53	0.1309
dblp:publishedIn	venue_1290	0.1541
dblp:publishedIn	venue_1221	0.1681
dblp:inYear	year_53	0.1451
dblp:hasAuthor	author_151186	0.0978
dblp:inYear	year_6	0.1077
dblp:inYear	year_53	0.1366
dblp:wrote	pub_130463	0.1171
dblp:inYear	year_53	0.1173
dblp:publishedIn	venue_163	0.1608
dblp:wrote	pub_2239	0.0808
dblp:publishedIn	venue_1539	0.1306
dblp:wrote	pub_149590	0.1532
dblp:hasAuthor	author_117569	0.1134
dblp:inYear	year_25	0.1280
dblp:wrote	pub_80961	0.1039
dblp:publishedIn	venue_761	0.1480
dblp:hasAuthor	author_113362	0.1262
dblp:inYear	year_25	0.1372
dblp:publishedIn	venue_936	0.1284
dblp:publishedIn	venue_725	0.2017
dblp:inYear	year_57	0.1255
dblp:wrote	pub_53733	0.0849
dblp:hasAuthor	author_250763	0.0936
dblp:wrote	pub_109610	0.0875
dblp:inYear	year_25	0.1019
dblp:inYear	year_57	0.1313
dblp:inYear	year_51	0.0872
dblp:hasAuthor	author_68398	0.0966
dblp:inYear	year_30	0.1543
dblp:hasAuthor	author_45926	0.1548
dblp:wrote	pub_4524	0.0783
dblp:inYear	year_57	0.1089
dblp:inYear	year_51	0.1091
dblp:wrote	pub_118162	0.1404
dblp:wrote	pub_187100	0.0959
dblp:hasAuthor	author_91992	0.1140
dblp:hasAuthor	author_101318	0.1039
dblp:inYear	year_43	0.1152
dblp:hasAuthor	author_124912	0.0688
dblp:inYear	year_53	0.0943
dblp:publishedIn	venue_907	0.1238
dblp:inYear	year_51	0.1066
dblp:publishedIn	venue_1648	0.1335
dblp:wrote	pub_31353	0.0686
dblp:hasAuthor	author_208340	0.0975
dblp:hasAuthor	author_25827	0.1196
dblp:publishedIn	venue_572	0.1077
dblp:wrote	pub_108632	0.0948
dblp:wrote	pub_33815	0.1064
dblp:wrote	pub_53704	0.0856
dblp:publishedIn	venue_1584	0.1085
dblp:wrote	pub_74477	0.0895
dblp:wrote	pub_101231	0.1052
dblp:wrote	pub_1807	0.0732
dblp:publishedIn	venue_163	0.1380
dblp:hasAuthor	author_209547	0.1011
dblp:publishedIn	venue_683	0.1976
dblp:publishedIn	venue_449	0.1365
dblp:inYear	year_53	0.1220
dblp:inYear	year_53	0.1269
dblp:wrote	pub_117913	0.1605
dblp:wrote	pub_43853	0.0842
dblp:hasAuthor	author_136941	0.0990
dblp:inYear	year_38	0.1193
dblp:inYear	year_52	0.1174
dblp:wrote	pub_29098	0.1335
dblp:publishedIn	venue_1539	0.1080
dblp:hasAuthor	author_59847	0.1005
