RELATION_ID	GENERATED_TAIL_ID	DISTANCE_SCORE
dblp:wrote	pub_7800	0.2388
dblp:inYear	year_9	0.3180
dblp:inYear	year_0	0.2625
dblp:wrote	pub_8072	0.2260
dblp:publishedIn	venue_41	0.4352
dblp:hasAuthor	author_2066	0.3993
dblp:inYear	year_4	0.2753
dblp:wrote	pub_7755	0.2709
dblp:wrote	pub_166	0.2588
dblp:inYear	year_7	0.3486
dblp:inYear	year_4	0.2383
dblp:inYear	year_7	0.2208
dblp:publishedIn	venue_46	0.2621
dblp:inYear	year_7	0.2416
dblp:hasAuthor	author_2501	0.3338
dblp:publishedIn	venue_31	0.3894
dblp:hasAuthor	author_4472	0.3964
dblp:wrote	pub_1400	0.2843
dblp:hasAuthor	author_1527	0.4986
dblp:wrote	pub_1586	0.2368
dblp:hasAuthor	author_4833	0.3662
dblp:publishedIn	venue_41	0.3590
dblp:wrote	pub_6671	0.2383
dblp:wrote	pub_4289	0.3030
dblp:wrote	pub_5198	0.2456
dblp:hasAuthor	author_856	0.4191
dblp:inYear	year_12	0.3658
dblp:inYear	year_4	0.2690
dblp:wrote	pub_6649	0.2305
dblp:inYear	year_4	0.2494
dblp:inYear	year_9	0.2385
dblp:publishedIn	venue_38	0.2821
dblp:inYear	year_12	0.3185
dblp:hasAuthor	author_1940	0.4578
dblp:publishedIn	venue_50	0.2262
dblp:hasAuthor	author_2629	0.4074
dblp:wrote	pub_5339	0.2820
dblp:wrote	pub_480	0.2035
dblp:publishedIn	venue_43	0.4268
dblp:inYear	year_2	0.2598
dblp:publishedIn	venue_47	0.3549
dblp:publishedIn	venue_48	0.3857
dblp:hasAuthor	author_3799	0.5002
dblp:wrote	pub_336	0.2443
dblp:hasAuthor	author_4646	0.4267
dblp:publishedIn	venue_12	0.3916
dblp:hasAuthor	author_4334	0.4852
dblp:inYear	year_9	0.2583
dblp:hasAuthor	author_5359	0.3968
dblp:wrote	pub_3109	0.2815
dblp:hasAuthor	author_538	0.4286
dblp:hasAuthor	author_4609	0.3365
dblp:hasAuthor	author_5779	0.4446
dblp:inYear	year_4	0.2626
dblp:hasAuthor	author_4402	0.4382
dblp:publishedIn	venue_52	0.4149
dblp:publishedIn	venue_17	0.3549
dblp:hasAuthor	author_3812	0.3971
dblp:publishedIn	venue_24	0.3128
dblp:hasAuthor	author_4680	0.4241
dblp:wrote	pub_4219	0.2306
dblp:hasAuthor	author_5782	0.3329
dblp:hasAuthor	author_2735	0.3935
dblp:wrote	pub_4853	0.2378
dblp:inYear	year_16	0.3124
dblp:wrote	pub_5752	0.3105
dblp:hasAuthor	author_4099	0.4193
dblp:hasAuthor	author_2640	0.3656
dblp:publishedIn	venue_17	0.2971
dblp:wrote	pub_1021	0.2503
dblp:hasAuthor	author_1152	0.3873
dblp:hasAuthor	author_2741	0.4690
dblp:publishedIn	venue_42	0.2943
dblp:publishedIn	venue_6	0.4183
dblp:hasAuthor	author_2041	0.4103
dblp:wrote	pub_959	0.1939
dblp:hasAuthor	author_4740	0.3409
dblp:hasAuthor	author_2494	0.3203
dblp:wrote	pub_2382	0.3403
dblp:inYear	year_7	0.2616
dblp:inYear	year_0	0.2802
dblp:wrote	pub_2292	0.2006
dblp:wrote	pub_3073	0.3041
dblp:publishedIn	venue_41	0.3040
dblp:inYear	year_7	0.2754
dblp:publishedIn	venue_24	0.3773
dblp:publishedIn	venue_27	0.3128
dblp:wrote	pub_7800	0.2387
dblp:inYear	year_11	0.2918
dblp:hasAuthor	author_3019	0.3526
dblp:publishedIn	venue_12	0.3386
dblp:wrote	pub_2946	0.2671
dblp:wrote	pub_4264	0.1978
dblp:hasAuthor	author_4991	0.3468
dblp:hasAuthor	author_769	0.4902
dblp:hasAuthor	author_3565	0.2866
dblp:publishedIn	venue_8	0.3470
dblp:publishedIn	venue_28	0.3507
dblp:wrote	pub_7445	0.2736
dblp:wrote	pub_2292	0.2763
dblp:inYear	year_2	0.2584
dblp:wrote	pub_7090	0.2355
dblp:inYear	year_17	0.3594
dblp:publishedIn	venue_25	0.3542
dblp:inYear	year_7	0.2513
dblp:publishedIn	venue_52	0.3792
dblp:inYear	year_15	0.3219
dblp:hasAuthor	author_5497	0.4052
dblp:wrote	pub_2705	0.2377
dblp:inYear	year_5	0.2723
dblp:inYear	year_7	0.2398
dblp:wrote	pub_6130	0.2791
dblp:publishedIn	venue_27	0.3687
dblp:publishedIn	venue_25	0.3431
dblp:inYear	year_7	0.2893
dblp:inYear	year_2	0.2868
dblp:hasAuthor	author_4983	0.3237
dblp:wrote	pub_4859	0.1849
dblp:hasAuthor	author_1555	0.2732
dblp:publishedIn	venue_52	0.3162
dblp:inYear	year_17	0.2397
dblp:inYear	year_0	0.3291
dblp:hasAuthor	author_3633	0.4605
dblp:wrote	pub_5025	0.2738
dblp:hasAuthor	author_2699	0.3380
dblp:publishedIn	venue_38	0.3318
dblp:hasAuthor	author_4503	0.4616
dblp:inYear	year_12	0.2414
dblp:publishedIn	venue_8	0.3869
dblp:hasAuthor	author_1467	0.3482
dblp:publishedIn	venue_35	0.3425
dblp:wrote	pub_6152	0.2213
dblp:inYear	year_16	0.2476
dblp:hasAuthor	author_253	0.3727
dblp:hasAuthor	author_4185	0.3246
dblp:inYear	year_0	0.2847
dblp:publishedIn	venue_35	0.3584
dblp:inYear	year_5	0.3044
dblp:wrote	pub_6649	0.2229
dblp:inYear	year_2	0.3060
dblp:publishedIn	venue_25	0.4356
dblp:hasAuthor	author_1587	0.3998
dblp:hasAuthor	author_2650	0.3674
dblp:hasAuthor	author_5519	0.3642
dblp:inYear	year_0	0.2456
dblp:wrote	pub_7800	0.2668
dblp:publishedIn	venue_17	0.4002
dblp:wrote	pub_7186	0.2175
dblp:hasAuthor	author_2675	0.3705
dblp:wrote	pub_2732	0.2443
dblp:inYear	year_2	0.3019
dblp:inYear	year_9	0.2769
dblp:publishedIn	venue_12	0.2864
dblp:hasAuthor	author_2664	0.3719
dblp:wrote	pub_5280	0.2430
dblp:hasAuthor	author_5486	0.4234
dblp:wrote	pub_2728	0.2013
dblp:inYear	year_5	0.2608
dblp:inYear	year_0	0.2708
dblp:hasAuthor	author_1311	0.3766
dblp:publishedIn	venue_9	0.3596
dblp:publishedIn	venue_52	0.3386
dblp:publishedIn	venue_38	0.3073
dblp:publishedIn	venue_47	0.2762
dblp:inYear	year_9	0.2930
dblp:inYear	year_15	0.2723
dblp:publishedIn	venue_8	0.3557
dblp:publishedIn	venue_11	0.3099
dblp:inYear	year_16	0.3535
dblp:inYear	year_4	0.3386
dblp:publishedIn	venue_17	0.3461
dblp:wrote	pub_6695	0.2916
dblp:publishedIn	venue_42	0.3105
dblp:hasAuthor	author_2022	0.3446
dblp:inYear	year_0	0.3396
dblp:wrote	pub_260	0.3130
dblp:wrote	pub_7791	0.2271
dblp:inYear	year_0	0.3843
dblp:inYear	year_7	0.2893
dblp:hasAuthor	author_5441	0.3676
dblp:wrote	pub_907	0.2735
dblp:publishedIn	venue_52	0.3457
dblp:hasAuthor	author_5046	0.4844
dblp:hasAuthor	author_2662	0.3203
dblp:wrote	pub_7677	0.2430
dblp:inYear	year_7	0.2753
dblp:hasAuthor	author_4469	0.3536
dblp:hasAuthor	author_5159	0.4671
dblp:publishedIn	venue_12	0.4462
dblp:publishedIn	venue_51	0.4632
dblp:hasAuthor	author_1161	0.3735
dblp:publishedIn	venue_8	0.3881
dblp:hasAuthor	author_649	0.3228
dblp:wrote	pub_7152	0.3099
dblp:hasAuthor	author_105	0.4166
dblp:inYear	year_8	0.3162
dblp:hasAuthor	author_2351	0.4843
dblp:inYear	year_11	0.3392
dblp:wrote	pub_6483	0.2474
dblp:inYear	year_4	0.2482
dblp:publishedIn	venue_21	0.2972
dblp:hasAuthor	author_5909	0.3418
dblp:publishedIn	venue_27	0.2695
dblp:publishedIn	venue_27	0.3378
dblp:wrote	pub_2419	0.2501
dblp:hasAuthor	author_2304	0.3281
dblp:hasAuthor	author_5884	0.4041
dblp:publishedIn	venue_8	0.3239
dblp:wrote	pub_4065	0.2839
dblp:wrote	pub_1238	0.2806
dblp:wrote	pub_7642	0.2227
dblp:wrote	pub_2123	0.2277
dblp:wrote	pub_4708	0.2532
dblp:hasAuthor	author_4510	0.3781
dblp:inYear	year_4	0.3779
dblp:publishedIn	venue_27	0.3089
dblp:publishedIn	venue_41	0.2262
dblp:hasAuthor	author_5865	0.3549
dblp:hasAuthor	author_5280	0.4412
dblp:wrote	pub_3732	0.2582
dblp:wrote	pub_1021	0.2539
dblp:hasAuthor	author_2662	0.4042
dblp:hasAuthor	author_317	0.3919
dblp:inYear	year_7	0.2480
dblp:wrote	pub_2382	0.2423
dblp:wrote	pub_4264	0.3336
dblp:wrote	pub_2166	0.2462
dblp:wrote	pub_6582	0.2127
dblp:publishedIn	venue_46	0.2534
dblp:hasAuthor	author_2571	0.3553
dblp:inYear	year_9	0.3639
dblp:inYear	year_5	0.2329
dblp:publishedIn	venue_6	0.3787
dblp:publishedIn	venue_4	0.3408
dblp:hasAuthor	author_4702	0.3727
dblp:hasAuthor	author_5519	0.4112
dblp:hasAuthor	author_1301	0.4181
dblp:hasAuthor	author_1428	0.4476
dblp:wrote	pub_5297	0.2319
dblp:inYear	year_4	0.3229
dblp:inYear	year_12	0.3110
dblp:wrote	pub_6331	0.2199
dblp:wrote	pub_6304	0.2453
dblp:inYear	year_7	0.2465
dblp:hasAuthor	author_2590	0.4460
dblp:publishedIn	venue_18	0.2408
dblp:inYear	year_17	0.3340
dblp:hasAuthor	author_541	0.4207
dblp:inYear	year_8	0.3378
dblp:inYear	year_7	0.2345
dblp:inYear	year_13	0.4827
dblp:inYear	year_15	0.2743
dblp:wrote	pub_2292	0.1949
dblp:hasAuthor	author_1137	0.3546
dblp:publishedIn	venue_27	0.2878
dblp:hasAuthor	author_3531	0.3223
dblp:inYear	year_2	0.2931
dblp:publishedIn	venue_41	0.3981
dblp:inYear	year_4	0.3011
dblp:hasAuthor	author_2127	0.4294
dblp:wrote	pub_6264	0.2531
dblp:inYear	year_11	0.3362
dblp:inYear	year_5	0.2599
dblp:inYear	year_17	0.3559
dblp:publishedIn	venue_43	0.3682
dblp:hasAuthor	author_4213	0.3852
dblp:inYear	year_0	0.2511
dblp:inYear	year_15	0.3487
dblp:inYear	year_15	0.3033
dblp:publishedIn	venue_8	0.2921
dblp:publishedIn	venue_51	0.4386
dblp:hasAuthor	author_742	0.3538
dblp:inYear	year_7	0.3221
dblp:hasAuthor	author_4574	0.4407
dblp:inYear	year_5	0.2787
dblp:hasAuthor	author_2571	0.3488
dblp:wrote	pub_2263	0.2463
dblp:hasAuthor	author_1311	0.4380
dblp:inYear	year_2	0.3040
dblp:inYear	year_17	0.3095
dblp:hasAuthor	author_1262	0.2879
dblp:inYear	year_12	0.2941
dblp:wrote	pub_7827	0.1885
dblp:wrote	pub_3091	0.1973
dblp:publishedIn	venue_35	0.3607
dblp:hasAuthor	author_2776	0.3102
dblp:wrote	pub_3069	0.2444
dblp:wrote	pub_4489	0.2434
dblp:publishedIn	venue_8	0.3550
dblp:hasAuthor	author_315	0.3818
dblp:wrote	pub_2460	0.3468
dblp:wrote	pub_7217	0.2006
dblp:hasAuthor	author_94	0.4444
dblp:hasAuthor	author_3808	0.4203
dblp:inYear	year_5	0.2682
dblp:publishedIn	venue_8	0.3141
dblp:wrote	pub_2153	0.2873
dblp:inYear	year_3	0.2849
dblp:publishedIn	venue_46	0.4033
dblp:publishedIn	venue_6	0.3103
dblp:inYear	year_8	0.3350
dblp:wrote	pub_2852	0.2109
dblp:wrote	pub_2979	0.1689
dblp:publishedIn	venue_8	0.3453
dblp:publishedIn	venue_10	0.3628
dblp:inYear	year_9	0.3271
dblp:publishedIn	venue_51	0.3431
dblp:wrote	pub_7755	0.2357
dblp:inYear	year_0	0.2816
dblp:inYear	year_15	0.2811
dblp:publishedIn	venue_24	0.3466
dblp:inYear	year_5	0.2830
dblp:publishedIn	venue_8	0.2815
dblp:wrote	pub_1084	0.3694
dblp:hasAuthor	author_266	0.4029
dblp:wrote	pub_147	0.2257
dblp:publishedIn	venue_25	0.2556
dblp:wrote	pub_2382	0.2955
dblp:hasAuthor	author_2735	0.3483
dblp:inYear	year_16	0.3113
dblp:wrote	pub_2852	0.2178
dblp:inYear	year_5	0.2797
dblp:publishedIn	venue_12	0.3800
dblp:inYear	year_12	0.2699
dblp:inYear	year_2	0.3156
dblp:hasAuthor	author_5493	0.3211
dblp:publishedIn	venue_41	0.3719
dblp:hasAuthor	author_34	0.3358
dblp:publishedIn	venue_8	0.3503
dblp:inYear	year_13	0.2971
dblp:publishedIn	venue_17	0.3817
dblp:inYear	year_14	0.3500
dblp:wrote	pub_888	0.2720
dblp:wrote	pub_4065	0.1922
dblp:wrote	pub_7862	0.2206
dblp:publishedIn	venue_50	0.3692
dblp:hasAuthor	author_1960	0.3646
dblp:publishedIn	venue_47	0.2618
dblp:hasAuthor	author_4031	0.3991
dblp:publishedIn	venue_12	0.3322
dblp:publishedIn	venue_40	0.3609
dblp:publishedIn	venue_23	0.3745
dblp:wrote	pub_941	0.1944
dblp:hasAuthor	author_1209	0.4239
dblp:publishedIn	venue_3	0.3588
dblp:wrote	pub_3109	0.2454
dblp:wrote	pub_5913	0.1914
dblp:hasAuthor	author_3605	0.3478
dblp:publishedIn	venue_48	0.4169
dblp:wrote	pub_2754	0.2377
dblp:inYear	year_11	0.3187
dblp:publishedIn	venue_25	0.3150
dblp:inYear	year_7	0.2783
dblp:publishedIn	venue_8	0.3057
dblp:inYear	year_17	0.2306
dblp:inYear	year_5	0.2667
dblp:publishedIn	venue_46	0.3625
dblp:wrote	pub_968	0.2311
dblp:inYear	year_2	0.2880
dblp:publishedIn	venue_8	0.3767
dblp:publishedIn	venue_41	0.2957
dblp:hasAuthor	author_6020	0.3382
dblp:inYear	year_15	0.3218
dblp:inYear	year_12	0.3203
dblp:wrote	pub_4364	0.2146
dblp:inYear	year_9	0.2686
dblp:wrote	pub_3441	0.2922
dblp:hasAuthor	author_5794	0.2509
dblp:inYear	year_16	0.2444
dblp:inYear	year_2	0.2778
dblp:publishedIn	venue_12	0.3199
dblp:wrote	pub_3084	0.2366
dblp:inYear	year_5	0.2624
dblp:publishedIn	venue_28	0.3111
dblp:publishedIn	venue_12	0.3533
dblp:publishedIn	venue_11	0.2731
dblp:wrote	pub_262	0.1996
dblp:publishedIn	venue_21	0.4006
dblp:inYear	year_11	0.3513
dblp:inYear	year_0	0.2876
dblp:inYear	year_11	0.2431
dblp:publishedIn	venue_41	0.3088
dblp:publishedIn	venue_6	0.3959
dblp:inYear	year_7	0.3390
dblp:hasAuthor	author_1237	0.3853
dblp:wrote	pub_2874	0.2768
dblp:wrote	pub_2227	0.2826
dblp:inYear	year_4	0.2682
dblp:publishedIn	venue_17	0.3910
dblp:wrote	pub_2166	0.2887
dblp:wrote	pub_3109	0.2802
dblp:inYear	year_7	0.2011
dblp:wrote	pub_1439	0.2473
dblp:wrote	pub_4482	0.2896
dblp:publishedIn	venue_47	0.3343
dblp:inYear	year_2	0.3222
dblp:publishedIn	venue_35	0.3471
dblp:publishedIn	venue_8	0.3355
dblp:hasAuthor	author_3582	0.3457
dblp:inYear	year_16	0.2511
dblp:wrote	pub_4947	0.2575
dblp:publishedIn	venue_35	0.3128
dblp:hasAuthor	author_2735	0.3274
dblp:hasAuthor	author_5715	0.3922
dblp:inYear	year_16	0.2757
dblp:wrote	pub_659	0.2468
dblp:publishedIn	venue_41	0.2740
dblp:inYear	year_9	0.3554
dblp:inYear	year_7	0.3624
dblp:wrote	pub_706	0.2923
dblp:publishedIn	venue_8	0.3462
dblp:hasAuthor	author_5829	0.4269
dblp:inYear	year_17	0.2607
dblp:hasAuthor	author_5665	0.3382
dblp:hasAuthor	author_5570	0.4317
dblp:publishedIn	venue_8	0.3332
